gene_id,control_1,control_2,treatment_1,treatment_2
g01,5.0,5.2,8.1,8.0
g02,4.8,5.0,7.8,7.6
g03,5.1,5.0,7.4,7.5
g04,4.9,5.1,7.1,7.3
g05,5.0,4.9,6.9,7.0
g06,5.1,5.2,6.8,6.7
g07,5.0,5.0,6.5,6.6
g08,4.9,5.1,6.3,6.4
g09,5.0,5.2,6.1,6.0
g10,5.1,5.0,5.8,5.9
g11,5.0,5.0,3.0,3.1
g12,5.2,5.1,3.2,3.0
g13,5.0,4.9,3.4,3.3
g14,4.8,5.0,3.5,3.6
g15,5.1,5.2,3.8,3.7
g16,5.0,5.0,4.0,3.9
g17,5.1,4.9,4.2,4.1
g18,5.0,5.2,4.4,4.3
g19,4.9,5.0,4.6,4.5
g20,5.0,5.1,4.8,4.7
g21,5.0,5.0,5.1,5.0
g22,5.1,5.0,5.0,5.1
g23,4.9,5.0,5.0,4.9
g24,5.0,5.1,5.1,5.0
g25,5.2,5.0,5.0,5.2
g26,5.0,4.9,4.9,5.0
g27,5.1,5.1,5.2,5.0
g28,4.9,5.0,5.0,5.1
g29,5.0,5.2,5.1,5.1
g30,5.1,5.0,5.0,5.0
