test,status,finding_id,message,seconds
tests.test_cli_and_integrations::test_cli_help_is_available,PASS,,,8.673
tests.test_cli_and_integrations::test_cli_rejects_invalid_output_choice,PASS,,,0.002
tests.test_cli_and_integrations::test_cli_requires_pathway_unless_legend,PASS,,,0.001
tests.test_cli_and_integrations::test_cli_gene_and_compound_tables_reach_core,PASS,,,0.033
tests.test_cli_and_integrations::test_cli_compound_only_workflow,KNOWN_BUG,PV-BUG-052,PV-BUG-052: CLI unconditionally calls gene_data.cast even for compound-only input,0.001
tests.test_cli_and_integrations::test_cli_simulation_can_be_combined_with_compound_data,KNOWN_BUG,PV-BUG-077,PV-BUG-077: --simulate branch silently ignores a supplied --cpd-data file,0.002
tests.test_cli_and_integrations::test_cli_reports_non_null_mapped_count,KNOWN_BUG,PV-BUG-053,"PV-BUG-053: CLI reports pathway row count as 'nodes mapped', including null rows",0.001
tests.test_cli_and_integrations::test_upstream_feature_script_runs_as_documented,KNOWN_BUG,PV-BUG-054,PV-BUG-054: upstream feature script fails when run directly because of relative imports,0.088
tests.test_cli_and_integrations::test_ko_species_resolution_is_offline,PASS,,,0.001
tests.test_cli_and_integrations::test_species_code_exact_match_is_case_insensitive,PASS,,,0.0
tests.test_cli_and_integrations::test_species_resolution_accepts_common_name,KNOWN_BUG,PV-BUG-055,PV-BUG-055: promised common-name lookup requires exact equality with full KEGG description,0.0
tests.test_cli_and_integrations::test_kegg_download_builds_official_urls_and_writes_files,PASS,,,0.001
tests.test_cli_and_integrations::test_kegg_download_rejects_invalid_file_type,KNOWN_BUG,PV-BUG-056,PV-BUG-056: invalid KEGG file types fail with internal KeyError instead of validation error,0.0
tests.test_cli_and_integrations::test_kegg_download_rejects_html_error_page_with_status_200[xml],KNOWN_BUG,PV-BUG-057,PV-BUG-057: KEGG downloader trusts any HTTP 200 body without format/content validation,0.001
tests.test_cli_and_integrations::test_kegg_download_rejects_html_error_page_with_status_200[png],KNOWN_BUG,PV-BUG-057,PV-BUG-057: KEGG downloader trusts any HTTP 200 body without format/content validation,0.001
tests.test_cli_and_integrations::test_mygene_uses_documented_batch_query_endpoint,KNOWN_BUG,PV-BUG-058,"PV-BUG-058: MyGene batch endpoint is /v3/query, not coded /v3/querymany",0.001
tests.test_cli_and_integrations::test_mygene_notfound_result_becomes_null,PASS,,,0.001
tests.test_cli_and_integrations::test_mygene_nested_uniprot_result_extracts_accession,KNOWN_BUG,PV-BUG-059,PV-BUG-059: nested MyGene fields are stringified as Python dicts instead of extracting IDs,0.001
tests.test_cli_and_integrations::test_mygene_returnall_response_shape_is_supported,KNOWN_BUG,PV-BUG-078,PV-BUG-078: MyGene returnall dictionary response is iterated as if it were a list of hits,0.0
