gene_set,set_size,stat_mean,p_geomean,p_val,q_val,effect
hsa04110 Cell cycle,124,4.662963090980158,6.657933692631778e-7,5.327153246791788e-60,8.629988259802697e-58,0.8699511786600497
hsa03030 DNA replication,36,3.7818511477015977,0.00007947426142205842,5.983042603816582e-37,4.846264509091432e-35,1.0437576923076923
hsa03040 Spliceosome,123,3.500402568500905,0.00009848314699766491,3.7272850647203894e-35,2.0127339349490102e-33,0.5983031269543464
hsa03050 Proteasome,43,3.4545942547373945,0.00030561960508740946,3.744856654898985e-32,1.5166669452340889e-30,0.8605713774597495
hsa03008 Ribosome biogenesis in eukaryotes,69,2.805996357423031,0.0012361229111170868,5.893631897621645e-23,1.909536734829413e-21,0.6366002229654402
hsa03013 RNA transport,144,2.733672259656104,0.0007827461711600647,1.78950764445806e-22,4.831670640036762e-21,0.5024938568376068
hsa00240 Pyrimidine metabolism,94,2.3820793301785845,0.005282162348716648,1.2187583574565206e-17,2.8205550558279477e-16,0.5724626841243864
hsa03410 Base excision repair,33,2.3773463240678705,0.006371840233527287,1.0453991699943516e-16,2.116933319238562e-15,0.7558111888111887
hsa03430 Mismatch repair,23,2.298772454805275,0.009493466828443412,1.8977472150763446e-15,3.4159449871374205e-14,0.839760535117057
hsa04115 p53 signaling pathway,65,2.1323544253341646,0.011082116194362692,2.0884618098249833e-14,3.383308131916473e-13,0.6798592899408283
hsa04612 Antigen processing and presentation,61,2.202636286473349,0.0010754503429246083,2.921986094589539e-14,4.3032886120318663e-13,0.6126921815889029
hsa03440 Homologous recombination,26,2.167501389260727,0.013845301435134485,3.4531978870026863e-14,4.661817147453626e-13,0.7503381656804733
hsa03420 Nucleotide excision repair,43,2.020114902007922,0.016173169833166547,6.008353291196074e-13,7.487332562875108e-12,0.605945259391771
hsa04380 Osteoclast differentiation,125,1.878357258506821,0.0025344905211026245,1.9958753604846014e-11,2.3095129171321815e-10,0.4431941538461538
hsa04670 Leukocyte transendothelial migration,114,1.8312344591011405,0.008662902352151192,4.330685920929767e-11,4.677140794604148e-10,0.493422334682861
hsa04120 Ubiquitin mediated proteolysis,131,1.7657414578572739,0.029856984185215783,1.2493972368022956e-10,1.2650147022623243e-9,0.41520622431004106
hsa04621 NOD-like receptor signaling pathway,56,1.7520814890537382,0.02151343328328077,2.8579730839124367e-10,2.723480232904793e-9,0.5740225274725274
hsa04660 T cell receptor signaling pathway,107,1.6762845766625913,0.018065200541925418,1.1788851436909414e-9,1.0609966293218472e-8,0.42618598130841123
hsa04650 Natural killer cell mediated cytotoxicity,126,1.6520197973119153,0.009475060797800205,2.0509512866956484e-9,1.7487058339194478e-8,0.4211897435897436
hsa04062 Chemokine signaling pathway,183,1.6547010826399149,0.003650329494369115,2.2703424325670852e-9,1.838977370379339e-8,0.4104024800336276
hsa04114 Oocyte meiosis,109,1.6095464131848938,0.03919608228580256,4.085072042615592e-9,3.151341290017742e-8,0.4418345800988003
hsa04145 Phagosome,146,1.6357060188105146,0.0029695830945479776,4.439797457581463e-9,3.269305400582714e-8,0.4027685985247629
hsa04914 Progesterone-mediated oocyte maturation,85,1.5840821208268634,0.04388955431425776,7.3217385814825565e-9,5.157050653044235e-8,0.45709963800904974
hsa03018 RNA degradation,64,1.5104945185303411,0.044204271051933065,3.869699727129227e-8,2.6120473158122283e-7,0.4715193509615385
hsa04210 Apoptosis,87,1.4769955728817572,0.04163395706352482,6.53655238369271e-8,4.235685944632876e-7,0.43132033598585323
hsa04620 Toll-like receptor signaling pathway,100,1.467889080935088,0.02442088755601607,8.971024298579667e-8,5.589638216807331e-7,0.4353254615384615
hsa04512 ECM-receptor interaction,85,1.4710445347351733,0.014933018119514875,1.386095781341612e-7,8.316574688049672e-7,0.46201764705882353
hsa04330 Notch signaling pathway,47,1.4294954771734636,0.0678442512617839,1.7319320689355794e-7,1.0020464113127282e-6,0.4919592471358428
hsa04514 Cell adhesion molecules (CAMs),125,1.4397526034546193,0.006196072961813857,2.1293298273370357e-7,1.1894876966503441e-6,0.4143612923076923
hsa04666 Fc gamma R-mediated phagocytosis,89,1.4192942716146546,0.030373766143932758,2.2826142709383057e-7,1.2326117063066852e-6,0.43226309420916165
hsa04662 B cell receptor signaling pathway,75,1.3783614405594875,0.029124116221494207,5.155226089481059e-7,2.6940213757933278e-6,0.439608
hsa04510 Focal adhesion,197,1.3300269756122454,0.007108936396490826,1.2684114424840467e-6,6.421332927575486e-6,0.33036173369777433
hsa03015 mRNA surveillance pathway,78,1.3163713622390927,0.0572738646850781,1.3904862144403591e-6,6.8260232345254e-6,0.4024669625246548
hsa03020 RNA polymerase,28,1.2362315788523974,0.08442940806468308,7.003914744955937e-6,0.00003337159378479005,0.5078373626373627
hsa04640 Hematopoietic cell lineage,85,1.2361159307992688,0.01814386262042916,7.695220544062935e-6,0.00003561787794680558,0.42959828054298643
hsa04672 Intestinal immune network for IgA production,43,1.2067523919636205,0.01769713037900646,0.000015440311630558253,0.00006948140233751214,0.4673611806797854
hsa00230 Purine metabolism,149,1.156626820550523,0.08198042952320408,0.000016601863178889994,0.00007268923878324808,0.35269741868869386
hsa04630 Jak-STAT signaling pathway,150,1.1430807376577983,0.053968996399159655,0.00002150024966667613,0.0000916589591053035,0.3385608717948718
hsa00510 N-Glycan biosynthesis,48,1.1190059837054644,0.06157862785524287,0.000039976479338682304,0.00016605614494529574,0.4522645833333333
hsa03022 Basal transcription factors,34,1.1078453493222824,0.1085959277303317,0.000043893572063801326,0.00017776896685839537,0.4431298642533936
hsa04622 RIG-I-like receptor signaling pathway,67,1.0759543724049037,0.11466357950568734,0.00005911398023586636,0.00023357231215147194,0.38832858783008034
hsa04810 Regulation of actin cytoskeleton,208,1.0126344907359093,0.0675516718792379,0.00014233197001624687,0.0005419866857416003,0.30222940088757394
hsa04623 Cytosolic DNA-sensing pathway,53,1.0183457893427805,0.10862154018397463,0.00014386066349931367,0.0005419866857416003,0.426143976777939
hsa03010 Ribosome,83,1.0669546890344845,0.00892477466566525,0.00016051495797032855,0.000590986890708937,0.38523716404077846
hsa00790 Folate biosynthesis,10,0.9967917051515868,0.15077326301298555,0.00028644948696044683,0.0010312181530576084,0.7228576923076923
hsa04141 Protein processing in endoplasmic reticulum,159,0.8814361783373842,0.08193286392761032,0.000795880628833261,0.0028028839537171365,0.31928529269472666
hsa00533 Glycosaminoglycan biosynthesis - keratan sulfate,14,0.8294471507773492,0.18528161037200958,0.0017925218578446396,0.0061784795951240765,0.5374423076923077
hsa03450 Non-homologous end-joining,12,0.8187778321428738,0.20102329353016993,0.002046350252642715,0.0068822391279255045,0.5246852564102564
hsa04722 Neurotrophin signaling pathway,126,0.7985149273485882,0.1530345067283308,0.0020816649214095663,0.0068822391279255045,0.304747557997558
hsa04360 Axon guidance,127,0.755259654184688,0.15157018387316315,0.0033573956326308128,0.010877961849723833,0.2998063597819503
hsa04520 Adherens junction,68,0.754642326492996,0.18231977391350931,0.00342621996390113,0.01088328694415653,0.33911481900452484
hsa00983 Drug metabolism - other enzymes,42,0.7577146006044954,0.14218360643148184,0.0037164088578385763,0.011372364543852678,0.43335109890109885
hsa04320 Dorso-ventral axis formation,24,0.7614675523445501,0.15587969456302725,0.003720588400149333,0.011372364543852678,0.41676057692307694
hsa00670 One carbon pool by folate,18,0.7499391767719348,0.18218424031774327,0.004180594655478849,0.012541783966436548,0.49648376068376077
hsa00100 Steroid biosynthesis,17,0.7446985942299568,0.12848636003694536,0.00561976199460229,0.01655275351137402,0.5547986425339366
hsa04664 Fc epsilon RI signaling pathway,78,0.7016658029136363,0.17020621542459463,0.005969756975606216,0.017269654108003695,0.33184625246548316
hsa04370 VEGF signaling pathway,75,0.6678270179693898,0.19698674324716764,0.008340639597927637,0.02370497569937328,0.32351271794871794
hsa04144 Endocytosis,192,0.6445255622980637,0.17392576853662056,0.010225249982914984,0.02856018098676254,0.2807111778846154
hsa04012 ErbB signaling pathway,86,0.6381672688121574,0.19188863979920556,0.011087152267450657,0.03028034704021271,0.30023542039356
hsa04142 Lysosome,117,0.6383487370980254,0.12059032168566142,0.01121494334822693,0.03028034704021271,0.2975784352399737
hsa00052 Galactose metabolism,26,0.6208352168260999,0.20679879373683666,0.013816664294872789,0.03669343632408839,0.4021795857988166
hsa04530 Tight junction,124,0.561535889457452,0.17183737076549138,0.02189021678699326,0.05678345889060335,0.2973307071960298
hsa04310 Wnt signaling pathway,149,0.55998358663418,0.18803117035201114,0.022082456235234634,0.05678345889060335,0.26542989158492514
hsa00970 Aminoacyl-tRNA biosynthesis,23,0.5615935033556356,0.2078015045759383,0.02426138267328085,0.06141162489174215,0.380019397993311
hsa01040 Biosynthesis of unsaturated fatty acids,18,0.4870871605094886,0.282514591184955,0.04179221085800801,0.10415904859995842,0.36982264957264954
hsa00564 Glycerophospholipid metabolism,71,0.4752352413157614,0.2660755831116357,0.044011398517137264,0.10722408537534374,0.3133862405200433
hsa00270 Cysteine and methionine metabolism,36,0.477096200944819,0.2732839672561729,0.04434576370461747,0.10722408537534374,0.32182350427350426
hsa04973 Carbohydrate digestion and absorption,41,0.40125437951844656,0.24365092765958382,0.0762631040268237,0.18168563018155057,0.30885384615384615
hsa00920 Sulfur metabolism,12,0.4120675490070584,0.2511554037750251,0.08159729420333289,0.19157625595565114,0.45692628205128205
hsa04010 MAPK signaling pathway,265,0.37143174304681836,0.17407426584565056,0.09110070882894311,0.20845360631368964,0.23313619738751812
hsa04610 Complement and coagulation cascades,67,0.3886379769572521,0.06744494914264657,0.09135929659427139,0.20845360631368964,0.29611814006888637
hsa04977 Vitamin digestion and absorption,23,0.3928969473069421,0.20966478487453177,0.09707533398105583,0.21841950145737563,0.4902622073578596
hsa04350 TGF-beta signaling pathway,83,0.3099564307551365,0.2763402461505889,0.13347257620018965,0.2961994156771332,0.25275440222428175
hsa00563 Glycosylphosphatidylinositol(GPI)-anchor biosynthesis,25,0.2993958158493638,0.24656733102254302,0.1457776787213404,0.3191349182818533,0.31728738461538464
hsa00030 Pentose phosphate pathway,26,0.27420179250402077,0.3374632199157112,0.1636896248239439,0.3535695896197188,0.3228313609467455
hsa00520 Amino sugar and nucleotide sugar metabolism,45,0.2643201002926375,0.334999409407314,0.17138404990350836,0.3653186326890573,0.30897965811965816
hsa03060 Protein export,22,0.2556056374622276,0.24880016641995023,0.18912889767558322,0.3979075509538244,0.31319300699300706
hsa04340 Hedgehog signaling pathway,56,0.23914172596082708,0.26459571785456903,0.19541363286262842,0.40585908363776674,0.25838832417582414
hsa00601 Glycosphingolipid biosynthesis - lacto and neolacto series,25,0.23567296626266984,0.28006829596400035,0.20132430719655753,0.4128422502005357,0.35061169230769235
hsa00511 Other glycan degradation,15,0.22062554721777194,0.2818956179915969,0.20644018363580308,0.41804137186250123,0.3173261538461538
hsa04540 Gap junction,88,0.22285622357070775,0.22242678042875932,0.21120133330012464,0.4224026666002492,0.22798461538461542
hsa00600 Sphingolipid metabolism,36,0.21818227210436925,0.290898659424573,0.21906122916105514,0.42759059976923924,0.2798367521367522
hsa04614 Renin-angiotensin system,17,0.22546805600493916,0.24911957299271434,0.219074196178067,0.42759059976923924,0.3859076923076924
hsa04130 SNARE interactions in vesicular transport,36,0.20975442151765347,0.3553218032844704,0.22765760230456544,0.4390539473016619,0.25240918803418805
hsa00565 Ether lipid metabolism,31,0.1673295908851882,0.3733310180160652,0.27445528386571527,0.523079482191128,0.28238933002481387
hsa04916 Melanogenesis,100,0.1593883754357598,0.3186707599771907,0.2824268066926054,0.5289220026573214,0.21680815384615384
hsa00770 Pantothenate and CoA biosynthesis,16,0.15754122435371049,0.3876803747000974,0.2840507051307837,0.5289220026573214,0.28137403846153847
hsa00514 Other types of O-glycan biosynthesis,34,0.1603351637636468,0.2955219318581306,0.2880972296820864,0.5303608091874772,0.30274502262443437
hsa00480 Glutathione metabolism,49,0.14040589364579648,0.3401101102296061,0.30979812108437443,0.5639021979288613,0.27501773940345364
hsa00051 Fructose and mannose metabolism,32,0.13129809720482136,0.335380343297271,0.317405199256494,0.5683886956736715,0.26199879807692306
hsa04122 Sulfur relay system,10,0.1352895142970498,0.3949952481392471,0.31928006979200063,0.5683886956736715,0.2986776923076923
hsa00604 Glycosphingolipid biosynthesis - ganglio series,15,0.0941854754256716,0.3990549255879621,0.3699262608612801,0.6513918941252976,0.23998000000000003
hsa00532 Glycosaminoglycan biosynthesis - chondroitin sulfate,22,0.012505494954323395,0.42028462775345155,0.4812863972893006,0.8383698533426528,0.18912342657342654
hsa04150 mTOR signaling pathway,50,-0.020609562318828187,0.4525743310763014,0.5293795277326054,0.9123349307732136,0.1912249230769231
hsa00512 Mucin type O-Glycan biosynthesis,26,-0.06333689476247593,0.313202791506132,0.5641560576248501,0.962034540370797,0.2328532544378698
hsa00603 Glycosphingolipid biosynthesis - globo series,13,-0.05061047481788279,0.4191119535809455,0.5732371019243518,0.9673376094973437,0.2020396449704142
hsa02010 ABC transporters,44,-0.0670532017187614,0.42620494493787403,0.5922941418491187,0.9891922781397653,0.1997013986013986
"hsa00250 Alanine, aspartate and glutamate metabolism",30,-0.10246135521625684,0.4597361825951284,0.6426457154787106,1.0,0.19504538461538462
hsa04912 GnRH signaling pathway,100,-0.10999379678672436,0.44766240638900867,0.6537729412644859,1.0,0.19368053846153846
hsa00310 Lysine degradation,37,-0.13149182933798878,0.4660992387383097,0.6797639700277086,1.0,0.20023139293139294
hsa04910 Insulin signaling pathway,136,-0.13862874366527383,0.4176812555701985,0.6901721638551634,1.0,0.181245814479638
hsa04975 Fat digestion and absorption,42,-0.1484701772649854,0.27268103085720524,0.7108083841159635,1.0,0.2342899267399268
hsa00900 Terpenoid backbone biosynthesis,15,-0.18611609747569008,0.3783903763351547,0.7355062428529733,1.0,0.19101846153846153
hsa00860 Porphyrin and chlorophyll metabolism,33,-0.17605160454440705,0.41998532809704014,0.7368542881872024,1.0,0.2041787878787879
hsa00592 alpha-Linolenic acid metabolism,19,-0.19777917984671842,0.5556871522580488,0.7597925909604459,1.0,0.15246072874493927
hsa00500 Starch and sucrose metabolism,43,-0.21245317210612716,0.40261247526059335,0.77444590518151,1.0,0.20645474060822896
hsa04974 Protein digestion and absorption,78,-0.24118452469690627,0.22483478566362633,0.8100641555968389,1.0,0.06085552268244577
hsa00430 Taurine and hypotaurine metabolism,10,-0.2580426956696034,0.5004502184709945,0.8128898590227805,1.0,0.10302615384615384
hsa00531 Glycosaminoglycan degradation,19,-0.2555672704226891,0.46979912104458077,0.8172465718685552,1.0,0.1482975708502024
hsa00562 Inositol phosphate metabolism,57,-0.25448513324762906,0.5154457500307501,0.81921121210183,1.0,0.16534089068825908
hsa00760 Nicotinate and nicotinamide metabolism,22,-0.2571242939063318,0.5154385018998835,0.8194531465713922,1.0,0.14364545454545458
hsa00534 Glycosaminoglycan biosynthesis - heparan sulfate,26,-0.3055711829343655,0.5248057010989833,0.862033988257638,1.0,0.13338491124260354
hsa03320 PPAR signaling pathway,70,-0.3091742029636706,0.43031217072903316,0.8663640824644842,1.0,0.1844420879120879
hsa00450 Selenocompound metabolism,14,-0.3328646244700992,0.5513264672175207,0.8791958018823098,1.0,0.13671593406593405
hsa04070 Phosphatidylinositol signaling system,78,-0.33333254739442275,0.5101182148697632,0.883664462250579,1.0,0.14938905325443788
hsa04962 Vasopressin-regulated water reabsorption,44,-0.38285303474677124,0.6006652660405558,0.9148118700066845,1.0,0.12668216783216782
hsa00561 Glycerolipid metabolism,44,-0.40829166057054994,0.5218444561129325,0.9272599627809472,1.0,0.09001940559440559
hsa04720 Long-term potentiation,70,-0.4059343397551187,0.5738879102034015,0.9273371393488841,1.0,0.13510637362637362
hsa04964 Proximal tubule bicarbonate reclamation,21,-0.43191001629750875,0.5681014784489822,0.9349605350955335,1.0,0.03385677655677655
hsa04976 Bile secretion,67,-0.4331037995844906,0.5397764371356217,0.9391190887640362,1.0,0.12374523536165326
hsa00020 Citrate cycle (TCA cycle),30,-0.4890877804449267,0.5213323277021735,0.9589947754648214,1.0,0.11581871794871793
hsa00330 Arginine and proline metabolism,51,-0.507926225366275,0.5552590590695394,0.9652628463551709,1.0,0.09208853695324283
hsa00010 Glycolysis / Gluconeogenesis,63,-0.5121760393249573,0.5738385765255344,0.9665421900597309,1.0,0.11257899877899877
hsa00040 Pentose and glucuronate interconversions,22,-0.5244943074415477,0.4806414791113328,0.9684829744717345,1.0,0.10748356643356645
hsa04730 Long-term depression,66,-0.5674306064857563,0.6019963433113027,0.9788864918735412,1.0,0.11348648018648018
hsa04920 Adipocytokine signaling pathway,67,-0.5888208496757374,0.586986000714703,0.9822787995055189,1.0,0.0902110218140069
hsa04970 Salivary secretion,85,-0.59081968813426,0.5795491119537882,0.9828072070533367,1.0,0.1041779185520362
hsa04146 Peroxisome,77,-0.6415744093217294,0.4799684505665898,0.989190904666462,1.0,0.12834085914085913
hsa00590 Arachidonic acid metabolism,57,-0.6485546750009511,0.5428494410916721,0.9893351479551957,1.0,0.0748357624831309
hsa04744 Phototransduction,29,-0.6572763275581519,0.6295958715482047,0.990179756467722,1.0,0.03514588859416447
hsa00360 Phenylalanine metabolism,17,-0.6664027440037713,0.7056770118343694,0.9907604006382709,1.0,-0.09243846153846157
hsa00591 Linoleic acid metabolism,27,-0.6737856926138892,0.607079029507356,0.9913039148460254,1.0,0.0029002849002849147
hsa00140 Steroid hormone biosynthesis,45,-0.6954635157594689,0.49847422682424064,0.9931164385218743,1.0,0.10366102564102564
hsa00620 Pyruvate metabolism,39,-0.715050301374541,0.6346049801286835,0.9945487797195777,1.0,0.05128856015779091
hsa00380 Tryptophan metabolism,38,-0.7500680543346517,0.6674629665588766,0.9962116611023154,1.0,0.029294736842105245
hsa04966 Collecting duct acid secretion,26,-0.7662753214039958,0.6365856815183242,0.9963095638139533,1.0,-0.29115
hsa00053 Ascorbate and aldarate metabolism,17,-0.7784300396599141,0.5649897826252056,0.9967191151907843,1.0,0.005276018099547513
hsa00910 Nitrogen metabolism,23,-0.7886305548426102,0.6592596501398962,0.9971179763336391,1.0,-0.08955083612040135
hsa00630 Glyoxylate and dicarboxylate metabolism,17,-0.8008990698012938,0.6946889793689355,0.9975929949261585,1.0,-0.009338914027149323
hsa04710 Circadian rhythm - mammal,21,-0.8178682099263335,0.7442008922497484,0.9980896952471812,1.0,-0.04497509157509158
hsa00120 Primary bile acid biosynthesis,16,-0.8655381820360307,0.7284780378170906,0.9987960552231008,1.0,-0.05189230769230767
hsa04960 Aldosterone-regulated sodium reabsorption,39,-0.892851252266609,0.7702350799959518,0.9992911717062981,1.0,-0.022463708086784988
hsa04140 Regulation of autophagy,33,-0.9090938684350879,0.7709754473253141,0.9993857225988039,1.0,0.025688111888111903
"hsa00260 Glycine, serine and threonine metabolism",32,-0.9594192997356612,0.6528219004151696,0.9996272314998439,1.0,-0.07780745192307693
hsa00410 beta-Alanine metabolism,22,-0.9805180525509066,0.7960892255486451,0.9997459761081955,1.0,-0.08459720279720279
hsa00340 Histidine metabolism,27,-1.0188881121582662,0.7246282516252633,0.9998353284407794,1.0,-0.1069401709401709
hsa00190 Oxidative phosphorylation,102,-1.0294396170625284,0.40367794852338373,0.9998706884491418,1.0,0.0039055806938159843
hsa04270 Vascular smooth muscle contraction,112,-1.1473334291253203,0.4944954847603978,0.9999760497135807,1.0,-0.016800068681318652
hsa04260 Cardiac muscle contraction,72,-1.1429494520090553,0.7253937453720216,0.9999769237929789,1.0,0.015229807692307702
hsa00830 Retinol metabolism,52,-1.3076442207306325,0.6082477911857707,0.9999982468050225,1.0,-0.05326227810650886
hsa00650 Butanoate metabolism,30,-1.3471269500471006,0.6839603322789772,0.9999988571116306,1.0,-0.14065923076923076
hsa00350 Tyrosine metabolism,40,-1.442482710314807,0.8716515226533099,0.9999998454229996,1.0,-0.16998673076923074
hsa04742 Taste transduction,51,-1.4449112716463406,0.9045025307231193,0.99999987579215,1.0,-0.046722926093514326
hsa04972 Pancreatic secretion,97,-1.5687072904307473,0.8400691619872052,0.9999999894463696,1.0,-0.06621126090404442
hsa04020 Calcium signaling pathway,177,-1.5695469760033467,0.7429063293871109,0.9999999896366,1.0,0.01061529769665363
hsa00640 Propanoate metabolism,31,-1.603347996554943,0.8992431408734749,0.9999999927453226,1.0,-0.18636129032258064
hsa00980 Metabolism of xenobiotics by cytochrome P450,58,-1.6946219831732199,0.7151117715247358,0.9999999988578094,1.0,-0.1719714854111406
hsa00982 Drug metabolism - cytochrome P450,61,-1.8022069910471528,0.7704582613375347,0.9999999999094366,1.0,-0.18911424968474147
"hsa00280 Valine, leucine and isoleucine degradation",43,-2.096232016221602,0.8958772631095692,0.9999999999999153,1.0,-0.22632754919499107
hsa00071 Fatty acid metabolism,43,-2.1175700914408253,0.9026157458858237,0.9999999999999456,1.0,-0.26379713774597496
hsa04971 Gastric acid secretion,74,-2.1701170418943714,0.9179852056429059,0.9999999999999915,1.0,-0.39841237006237007
hsa04740 Olfactory transduction,380,-3.7404443663519134,0.9005413163954379,1.0,1.0,-0.0021987044534412955
