gene_set,set_size,stat_mean,p_geomean,p_val,q_val,effect
hsa04740 Olfactory transduction,380,-3.7404443663519134,0.000015084627785497503,1.1686419414399962e-40,1.8931999451327938e-38,-0.0021987044534412955
hsa04971 Gastric acid secretion,74,-2.1701170418943714,0.011170437794224955,8.570679268185248e-15,6.942250207230051e-13,-0.39841237006237007
hsa00071 Fatty acid metabolism,43,-2.1175700914408253,0.011788208072836448,5.4401394671345434e-14,2.9376753122526534e-12,-0.26379713774597496
"hsa00280 Valine, leucine and isoleucine degradation",43,-2.096232016221602,0.01283689610808346,8.47652666347992e-14,3.432993298709368e-12,-0.22632754919499107
hsa00982 Drug metabolism - cytochrome P450,61,-1.8022069910471528,0.021320674585697606,9.056339398196656e-11,2.934253965015717e-9,-0.18911424968474147
hsa00980 Metabolism of xenobiotics by cytochrome P450,58,-1.6946219831732199,0.02318762549984089,1.1421905252955952e-9,3.083914418298107e-8,-0.1719714854111406
hsa00640 Propanoate metabolism,31,-1.603347996554943,0.04893011217605325,7.254677391477562e-9,1.6789396248848073e-7,-0.18636129032258064
hsa04020 Calcium signaling pathway,177,-1.5695469760033467,0.02075976323392351,1.0363399989909885e-8,1.8996534790973851e-7,0.01061529769665363
hsa04972 Pancreatic secretion,97,-1.5687072904307473,0.03984374698462343,1.0553630439429917e-8,1.8996534790973851e-7,-0.06621126090404442
hsa04742 Taste transduction,51,-1.4449112716463406,0.07098895666488649,1.2420785003724108e-7,2.0121671706033057e-6,-0.046722926093514326
hsa00350 Tyrosine metabolism,40,-1.442482710314807,0.06430044388517275,1.5457700041411528e-7,2.276497642462425e-6,-0.16998673076923074
hsa00650 Butanoate metabolism,30,-1.3471269500471006,0.054535665783351894,1.1428883694073544e-6,0.000015428992986999286,-0.14065923076923076
hsa00830 Retinol metabolism,52,-1.3076442207306325,0.05067468984999397,1.753194977582767e-6,0.000021847506643723712,-0.05326227810650886
hsa04260 Cardiac muscle contraction,72,-1.1429494520090553,0.08040798567445333,0.00002307620702118682,0.00025866309332888966,0.015229807692307702
hsa04270 Vascular smooth muscle contraction,112,-1.1473334291253203,0.034411968633900385,0.000023950286419341633,0.00025866309332888966,-0.016800068681318652
hsa00190 Oxidative phosphorylation,102,-1.0294396170625284,0.04353048373912995,0.00012931155085822905,0.001309279452439569,0.0039055806938159843
hsa00340 Histidine metabolism,27,-1.0188881121582662,0.11760157955006198,0.00016467155922065692,0.0015692230937497894,-0.1069401709401709
hsa00410 beta-Alanine metabolism,22,-0.9805180525509066,0.15276911743931193,0.0002540238918044579,0.002286215026240121,-0.08459720279720279
"hsa00260 Glycine, serine and threonine metabolism",32,-0.9594192997356612,0.10796390860974608,0.0003727685001561513,0.003178341948699816,-0.07780745192307693
hsa04140 Regulation of autophagy,33,-0.9090938684350879,0.1648058837987924,0.0006142774011960968,0.004975646949688385,0.025688111888111903
hsa04960 Aldosterone-regulated sodium reabsorption,39,-0.892851252266609,0.1708485380764169,0.0007088282937019281,0.005468103979986302,-0.022463708086784988
hsa00120 Primary bile acid biosynthesis,16,-0.8655381820360307,0.1675652188285673,0.0012039447768992693,0.008865411538985528,-0.05189230769230767
hsa04710 Circadian rhythm - mammal,21,-0.8178682099263335,0.18653882318421214,0.0019103047528188748,0.013455189998115551,-0.04497509157509158
hsa00630 Glyoxylate and dicarboxylate metabolism,17,-0.8008990698012938,0.17942565308126662,0.0024070050738415434,0.01624728424843042,-0.009338914027149323
hsa00910 Nitrogen metabolism,23,-0.7886305548426102,0.16108424798093748,0.0028820236663609404,0.018675513358018894,-0.08955083612040135
hsa00053 Ascorbate and aldarate metabolism,17,-0.7784300396599141,0.14533760493228015,0.003280884809215733,0.02044243611895957,0.005276018099547513
hsa04966 Collecting duct acid secretion,26,-0.7662753214039958,0.1680141328778556,0.0036904361860467375,0.021918246479461,-0.29115
hsa00380 Tryptophan metabolism,38,-0.7500680543346517,0.17987093523968875,0.003788338897684617,0.021918246479461,0.029294736842105245
hsa00620 Pyruvate metabolism,39,-0.715050301374541,0.17900879059873206,0.005451220280422369,0.030451644325118064,0.05128856015779091
hsa00140 Steroid hormone biosynthesis,45,-0.6954635157594689,0.13435134086941838,0.00688356147812575,0.03717123198187904,0.10366102564102564
hsa00591 Linoleic acid metabolism,27,-0.6737856926138892,0.18460561963589403,0.008696085153974603,0.04544405790141567,0.0029002849002849147
hsa00360 Phenylalanine metabolism,17,-0.6664027440037713,0.23692882903755177,0.009239599361729115,0.04677547176875364,-0.09243846153846157
hsa04744 Phototransduction,29,-0.6572763275581519,0.2045719716429294,0.009820243532277952,0.04820846824936449,0.03514588859416447
hsa00590 Arachidonic acid metabolism,57,-0.6485546750009511,0.1567196123849442,0.010664852044804248,0.05003066982951889,0.0748357624831309
hsa04146 Peroxisome,77,-0.6415744093217294,0.1504131966297935,0.010809095333538032,0.05003066982951889,0.12834085914085913
hsa04970 Salivary secretion,85,-0.59081968813426,0.1991973136707709,0.017192792946663267,0.0773675682599847,0.1041779185520362
hsa04920 Adipocytokine signaling pathway,67,-0.5888208496757374,0.19876496594512072,0.017721200494481188,0.07759012108394467,0.0902110218140069
hsa04730 Long-term depression,66,-0.5674306064857563,0.21995095786128374,0.021113508126458864,0.09001021885490357,0.11348648018648018
hsa00040 Pentose and glucuronate interconversions,22,-0.5244943074415477,0.19674410728362707,0.03151702552826559,0.13091687527125706,0.10748356643356645
hsa00010 Glycolysis / Gluconeogenesis,63,-0.5121760393249573,0.23504071605052218,0.03345780994026919,0.13550413025809022,0.11257899877899877
hsa00330 Arginine and proline metabolism,51,-0.507926225366275,0.2315837224613467,0.03473715364482922,0.13725411927956913,0.09208853695324283
hsa00020 Citrate cycle (TCA cycle),30,-0.4890877804449267,0.22727821158616085,0.041005224535178714,0.15816300892140361,0.11581871794871793
hsa04976 Bile secretion,67,-0.4331037995844906,0.24661948291863584,0.06088091123596384,0.22936529349363122,0.12374523536165326
hsa04964 Proximal tubule bicarbonate reclamation,21,-0.43191001629750875,0.26800520481189827,0.0650394649044666,0.23946348442099066,0.03385677655677655
hsa04720 Long-term potentiation,70,-0.4059343397551187,0.2870794908710187,0.07266286065111592,0.25617143542362064,0.13510637362637362
hsa00561 Glycerolipid metabolism,44,-0.40829166057054994,0.2603575640321487,0.07274003721905277,0.25617143542362064,0.09001940559440559
hsa04962 Vasopressin-regulated water reabsorption,44,-0.38285303474677124,0.3162639543381846,0.08518812999331549,0.29362717146632145,0.12668216783216782
