id,name,status,seconds,error
PY01,"environment, exact version, and pinned source commit",pass,0.0279,
PY02,authoritative upstream test result,pass,0.0007,
PY03,frozen R and Python pathway inputs are byte-for-byte identical,pass,0.0006,
PY04,KEGG KGML parsing and pathway edges,pass,0.0061,
PY05,"one-, two-, and three-state native rendering",pass,0.9951,
PY06,same Control/Treatment dataset in Python and R Pathview,pass,0.3234,
PY07,"native, vector, SVG, PDF, graph, and automatic render modes",pass,1.9412,
PY08,genes and compounds together with separate scales,pass,0.7337,
PY09,"namespaced SBGN parsing, ports, arcs, and compartments",pass,0.0076,
PY10,"mapped two-state SBGN rendering to PNG, PDF, and SVG",pass,1.6206,
PY11,offline SBGN collection index and identifier crosswalks,pass,0.0874,
PY12,batch rendering and partial-failure reporting,pass,0.9927,
PY13,"highlighting is visible, composable, and leaves the original unchanged",pass,0.0167,
PY14,group splitting and multi-gene node expansion,pass,1.6363,
PY15,command-line interface and bundled smoke test,pass,3.0567,
PY16,project feature matrix is internally complete and testable,pass,0.0009,
