entry_id,name,kegg_names,type,x,y,width,height,bgcolor,fgcolor,label,shape,reaction,component,size,link,glyph_class,clone_marker,compartment,Control,Treatment
Protein_608bc3adf283a9858c923f468826fcb4,COMT,COMT,gene,1365.15977809579,750.440939442437,70.0,40.0,#FFFFFF,#000000,COMT,roundrectangle,"","",1,"",macromolecule,false,"",-1.5,1.5
PhysicalEntity_647ec4d047adde4a098bef258c43cdfe,a30_degraded,a30_degraded,gene,1328.90693843187,504.518336854345,70.0,40.0,#FFFFFF,#000000,a30_degraded,rectangle,"","",1,"",unspecified entity,false,"",,
PhysicalEntity_8b00f0c958d965d4e1bf3fbbaad5a4f3,a16_degraded,a16_degraded,gene,1472.52925559296,999.138633435144,70.0,40.0,#FFFFFF,#000000,a16_degraded,rectangle,"","",1,"",unspecified entity,false,"",,
Protein_9658f5cb31fa6b3319c4f835ec255f17,MAO,MAO,gene,1368.40450953873,820.118023708888,70.0,40.0,#FFFFFF,#000000,MAO,roundrectangle,"","",1,"",macromolecule,false,"",,
PhysicalEntity_9330d3fb53c20a14ab0b8854a9ad31b0,a15_degraded,a15_degraded,gene,1561.43067230358,587.953930578731,70.0,40.0,#FFFFFF,#000000,a15_degraded,rectangle,"","",1,"",unspecified entity,false,"",,
Protein_a71e0202399297eb56653c5a0d76d30d,VAT1,VAT1,gene,2328.97399710156,1253.95877330699,70.0,40.0,#FFFFFF,#000000,VAT1,roundrectangle,"","",1,"",macromolecule,false,dense_core_granule,,
Complex_4e65cdd554d14679587b7822e6426705,Complex (VAT1/epinephrine),Complex (VAT1/epinephrine),gene,2455.50784845902,1378.8988391992,81.0,99.75,#FFFFFF,#000000,Complex (VAT1/epinephrine),octagon,"","",1,"",complex,false,dense_core_granule,,
Protein_867b0dee991e64eb90508c5abeaa8605_Complex_4e65cdd554d14679587b7822e6426705,VAT1,VAT1,gene,2455.50784845902,1354.5238391992,70.0,40.0,#FFFFFF,#000000,VAT1,roundrectangle,"",Complex_4e65cdd554d14679587b7822e6426705,1,"",macromolecule,false,dense_core_granule,,
Complex_c0c21acd06cad8915dc6d562a17cb92b,Complex (VAT2/DOPA),Complex (VAT2/DOPA),gene,1874.68367052241,372.258913687359,81.0,99.75,#FFFFFF,#000000,Complex (VAT2/DOPA),octagon,"","",1,"",complex,false,dense_core_granule,,
Protein_93b7b794c67db60739980abed5887b3d_Complex_c0c21acd06cad8915dc6d562a17cb92b,SLC18A2,SLC18A2,gene,1874.68367052241,396.633913687359,70.0,40.0,#FFFFFF,#000000,SLC18A2,roundrectangle,"",Complex_c0c21acd06cad8915dc6d562a17cb92b,1,"",macromolecule,false,dense_core_granule,1.0,-1.0
Protein_909ce67b3192938e0043155e62a78e04,SNARE,SNARE,gene,2046.35967447804,918.587075544662,70.0,40.0,#FFFFFF,#000000,SNARE,roundrectangle,"","",1,"",macromolecule,false,dense_core_granule,,
Complex_44d4dcd34a2e5efec04d9de60ae65344,Complex (VAT1/norepinephrine),Complex (VAT1/norepinephrine),gene,2429.07161354319,1092.11320534608,81.0,99.75,#FFFFFF,#000000,Complex (VAT1/norepinephrine),octagon,"","",1,"",complex,false,dense_core_granule,,
Protein_51ab5a199dfaade855ed64a9f22c969d_Complex_44d4dcd34a2e5efec04d9de60ae65344,VAT1,VAT1,gene,2429.07161354319,1116.48820534608,70.0,40.0,#FFFFFF,#000000,VAT1,roundrectangle,"",Complex_44d4dcd34a2e5efec04d9de60ae65344,1,"",macromolecule,false,dense_core_granule,,
Protein_29affa8c14b24efa919422a19945a414,DDC,DDC,gene,2196.06232867291,585.22160859174,70.0,40.0,#FFFFFF,#000000,DDC,roundrectangle,"","",1,"",macromolecule,false,dense_core_granule,-1.0,1.0
Protein_b8e33f6ebba469f6187e8e8b6641868e,SLC18A2,SLC18A2,gene,1754.55045755168,457.568423175195,70.0,40.0,#FFFFFF,#000000,SLC18A2,roundrectangle,"","",1,"",macromolecule,false,dense_core_granule,1.0,-1.0
Complex_33b98f178303ceef166819f17daaed43,Complex (amine translocator/epinephrine),Complex (amine translocator/epinephrine),gene,1119.55536411378,1206.25584133332,81.0,113.75,#FFFFFF,#000000,Complex (amine translocator/epinephrine),octagon,"","",1,"",complex,false,cytosol,,
Protein_5c961955c35b50fc71bc700df9cedc2e_Complex_33b98f178303ceef166819f17daaed43,amine translocator,amine translocator,gene,1119.55536411378,1230.63084133332,70.0,40.0,#FFFFFF,#000000,amine translocator,roundrectangle,"",Complex_33b98f178303ceef166819f17daaed43,1,"",macromolecule,false,cytosol,,
Protein_df07a65aa8c4d5b103e43486b6fd967d,TH,TH,gene,246.877202937425,727.005393339428,70.0,40.0,#FFFFFF,#000000,TH,roundrectangle,"","",1,"",macromolecule,false,cytosol,-0.5,0.5
Protein_76137db58b37ef9d06406f5542675a9b,DBH,DBH,gene,634.627240231139,1358.25765935343,70.0,40.0,#FFFFFF,#000000,DBH,roundrectangle,"","",1,"",macromolecule,false,cytosol,0.0,0.0
Complex_867b13ae34975010d2b52ab1ef9dcd3d,Complex (NET/norepinephrine),Complex (NET/norepinephrine),gene,458.399489267012,1124.40080518599,81.0,148.5,#FFFFFF,#000000,Complex (NET/norepinephrine),octagon,"","",1,"",complex,false,cytosol,,
Protein_95dabb069120f0edda63969415cb5aa8_Complex_867b13ae34975010d2b52ab1ef9dcd3d,NET,NET,gene,458.399489267012,1075.65080518599,70.0,40.0,#FFFFFF,#000000,NET,roundrectangle,"",Complex_867b13ae34975010d2b52ab1ef9dcd3d,1,"",macromolecule,false,cytosol,,
Protein_b734927c10297d1db3f9bc290d7a06b5,SLC6A3,SLC6A3,gene,558.108121223252,783.156398151928,70.0,40.0,#FFFFFF,#000000,SLC6A3,roundrectangle,"","",1,"",macromolecule,false,cytosol,1.5,-1.5
Protein_095f54d1d22526b62115de28706b23f0,amine translocator,amine translocator,gene,1107.31047861833,1031.7159225682499,70.0,40.0,#FFFFFF,#000000,amine translocator,roundrectangle,"","",1,"",macromolecule,false,cytosol,,
