source,target,edge_type,subtype,value,source_kind,reversible,n_points
SmallMolecule_7753c3822ee83d806156d21648c931e6,BiochemicalReaction_f3087e7a2ee72e1e0d0e73a12bfc469d_LEFT_TO_RIGHT,consumption,consumption,SmallMolecule_7753c3822ee83d806156d21648c931e6--to--BiochemicalReaction_f3087e7a2ee72e1e0d0e73a12bfc469d_LEFT_TO_RIGHT-input,arc,false,2
ComplexAssembly_767eee672fa72dda0d5c288f088506f2_LEFT_TO_RIGHT,SmallMolecule_979edf9da186165cf66b8b8c3b9a5910,production,production,ComplexAssembly_767eee672fa72dda0d5c288f088506f2_LEFT_TO_RIGHT-output--to--SmallMolecule_979edf9da186165cf66b8b8c3b9a5910,arc,false,2
SmallMolecule_51141e75306a35b0e376681a8af8e2f3,TransportWithBiochemicalReaction_cdfb85d74c8e3e989308627d1b668822_LEFT_TO_RIGHT,consumption,consumption,SmallMolecule_51141e75306a35b0e376681a8af8e2f3--to--TransportWithBiochemicalReaction_cdfb85d74c8e3e989308627d1b668822_LEFT_TO_RIGHT-input,arc,false,2
Protein_608bc3adf283a9858c923f468826fcb4,BiochemicalReaction_6e87a95aea6d461f1e22c5a6c9a3b9ee_LEFT_TO_RIGHT,catalysis,catalysis,Protein_608bc3adf283a9858c923f468826fcb4--to--BiochemicalReaction_6e87a95aea6d461f1e22c5a6c9a3b9ee_LEFT_TO_RIGHT,arc,false,2
SmallMolecule_0ece5ca970bf9e5df0cc2df7e8211267,ComplexAssembly_35ad0c8d1de2e3545a59d0af77644e9b_LEFT_TO_RIGHT,consumption,consumption,SmallMolecule_0ece5ca970bf9e5df0cc2df7e8211267--to--ComplexAssembly_35ad0c8d1de2e3545a59d0af77644e9b_LEFT_TO_RIGHT-input,arc,false,2
Protein_909ce67b3192938e0043155e62a78e04,TransportWithBiochemicalReaction_d172bbccfedc1052d7dbba0c3a95bc8b_LEFT_TO_RIGHT,stimulation,stimulation,Protein_909ce67b3192938e0043155e62a78e04--to--TransportWithBiochemicalReaction_d172bbccfedc1052d7dbba0c3a95bc8b_LEFT_TO_RIGHT,arc,false,2
Protein_76137db58b37ef9d06406f5542675a9b,BiochemicalReaction_7201bb44fa7d006ca5dd43abddbab696_LEFT_TO_RIGHT,catalysis,catalysis,Protein_76137db58b37ef9d06406f5542675a9b--to--BiochemicalReaction_7201bb44fa7d006ca5dd43abddbab696_LEFT_TO_RIGHT,arc,false,2
Protein_df07a65aa8c4d5b103e43486b6fd967d,BiochemicalReaction_c3500f153fa8c4c5885a2637f3891878_LEFT_TO_RIGHT,catalysis,catalysis,Protein_df07a65aa8c4d5b103e43486b6fd967d--to--BiochemicalReaction_c3500f153fa8c4c5885a2637f3891878_LEFT_TO_RIGHT,arc,false,2
ComplexAssembly_4452e9c3db09f8ecc0a0b4dc4c4c100c_LEFT_TO_RIGHT,SmallMolecule_db0211694be3283c6b1fb217c8f331ac,production,production,ComplexAssembly_4452e9c3db09f8ecc0a0b4dc4c4c100c_LEFT_TO_RIGHT-output--to--SmallMolecule_db0211694be3283c6b1fb217c8f331ac,arc,false,2
BiochemicalReaction_2cc16d77fc72d95d1e52bbee0e9d715e_LEFT_TO_RIGHT,SmallMolecule_51141e75306a35b0e376681a8af8e2f3,production,production,BiochemicalReaction_2cc16d77fc72d95d1e52bbee0e9d715e_LEFT_TO_RIGHT-output--to--SmallMolecule_51141e75306a35b0e376681a8af8e2f3,arc,false,2
SmallMolecule_d6e1edab5acc63ab37e4709f277a00f3,BiochemicalReaction_6e87a95aea6d461f1e22c5a6c9a3b9ee_LEFT_TO_RIGHT,consumption,consumption,SmallMolecule_d6e1edab5acc63ab37e4709f277a00f3--to--BiochemicalReaction_6e87a95aea6d461f1e22c5a6c9a3b9ee_LEFT_TO_RIGHT-input,arc,false,2
BiochemicalReaction_69ac0e38aa1214bbe7b90c612a7f07d8_LEFT_TO_RIGHT,PhysicalEntity_9330d3fb53c20a14ab0b8854a9ad31b0,production,production,BiochemicalReaction_69ac0e38aa1214bbe7b90c612a7f07d8_LEFT_TO_RIGHT-output--to--PhysicalEntity_9330d3fb53c20a14ab0b8854a9ad31b0,arc,false,2
Protein_a71e0202399297eb56653c5a0d76d30d,ComplexAssembly_35ad0c8d1de2e3545a59d0af77644e9b_LEFT_TO_RIGHT,consumption,consumption,Protein_a71e0202399297eb56653c5a0d76d30d--to--ComplexAssembly_35ad0c8d1de2e3545a59d0af77644e9b_LEFT_TO_RIGHT-input,arc,false,2
SmallMolecule_51141e75306a35b0e376681a8af8e2f3,BiochemicalReaction_7201bb44fa7d006ca5dd43abddbab696_LEFT_TO_RIGHT,consumption,consumption,SmallMolecule_51141e75306a35b0e376681a8af8e2f3--to--BiochemicalReaction_7201bb44fa7d006ca5dd43abddbab696_LEFT_TO_RIGHT-input,arc,false,2
