entry_id,name,kegg_names,type,x,y,width,height,bgcolor,fgcolor,label,shape,reaction,component,size,link,Low,High,all_mapped
59,cpd:C00022,C00022,compound,716.0,241.0,8.0,8.0,#FFFFFF,#000000,C00022,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C00022,-2.0,2.0,C00022
60,cpd:C00122,C00122,compound,169.0,481.0,8.0,8.0,#FFFFFF,#000000,C00122,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C00122,2.0,-2.0,C00122
61,cpd:C00036,C00036,compound,299.0,344.0,8.0,8.0,#FFFFFF,#000000,C00036,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C00036,,,
62,cpd:C05379,C05379,compound,697.0,453.0,8.0,8.0,#FFFFFF,#000000,C05379,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C05379,,,
63,cpd:C00024,C00024,compound,379.0,241.0,8.0,8.0,#FFFFFF,#000000,C00024,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C00024,,,
64,cpd:C00149,C00149,compound,169.0,393.0,8.0,8.0,#FFFFFF,#000000,C00149,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C00149,,,
65,cpd:C00311,C00311,compound,697.0,344.0,8.0,8.0,#FFFFFF,#000000,C00311,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C00311,,,
66,cpd:C00417,C00417,compound,600.0,344.0,8.0,8.0,#FFFFFF,#000000,C00417,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C00417,,,
67,cpd:C00042,C00042,compound,169.0,574.0,8.0,8.0,#FFFFFF,#000000,C00042,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C00042,,,
68,cpd:C00158,C00158,compound,501.0,344.0,8.0,8.0,#FFFFFF,#000000,C00158,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C00158,,,
69,cpd:C15972,C15972,compound,501.0,617.0,8.0,8.0,#FFFFFF,#000000,C15972,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C15972,,,
70,cpd:C00068,C00068,compound,568.0,530.0,8.0,8.0,#FFFFFF,#000000,C00068,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C00068,,,
71,cpd:C16254,C16254,compound,441.0,573.0,8.0,8.0,#FFFFFF,#000000,C16254,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C16254,,,
72,cpd:C15973,C15973,compound,387.0,617.0,8.0,8.0,#FFFFFF,#000000,C15973,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C15973,,,
73,cpd:C00091,C00091,compound,313.0,574.0,8.0,8.0,#FFFFFF,#000000,C00091,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C00091,,,
74,cpd:C00026,C00026,compound,697.0,573.0,8.0,8.0,#FFFFFF,#000000,C00026,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C00026,,,
75,cpd:C05381,C05381,compound,572.0,573.0,8.0,8.0,#FFFFFF,#000000,C05381,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C05381,,,
78,cpd:C05125,C05125,compound,610.0,241.0,8.0,8.0,#FFFFFF,#000000,C05125,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C05125,,,
80,cpd:C00068,C00068,compound,610.0,198.0,8.0,8.0,#FFFFFF,#000000,C00068,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C00068,,,
82,cpd:C15972,C15972,compound,559.0,284.0,8.0,8.0,#FFFFFF,#000000,C15972,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C15972,,,
85,cpd:C16255,C16255,compound,496.0,241.0,8.0,8.0,#FFFFFF,#000000,C16255,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C16255,,,
95,cpd:C15973,C15973,compound,457.0,284.0,8.0,8.0,#FFFFFF,#000000,C15973,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C15973,,,
96,cpd:C00074,C00074,compound,450.0,127.0,8.0,8.0,#FFFFFF,#000000,C00074,circle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?C00074,,,
