source,target,edge_type,subtype,value,source_kind,reversible
32,64,PPrel,inhibition,--|,relation,false
47,23,PPrel,activation,-->,relation,false
81,108,PPrel,inhibition,--|,relation,false
80,108,PPrel,inhibition,--|,relation,false
37,49,PPrel,activation,-->,relation,false
110,34,PPrel,inhibition,--|,relation,false
104,105,PPrel,binding/association,---,relation,false
95,115,PPrel,dissociation,-+-,relation,false
49,32,GErel,expression,-->,relation,false
106,105,PPrel,phosphorylation,+p,relation,false
89,51,GErel,expression,-->,relation,false
99,34,GErel,expression,-->,relation,false
39,21,PPrel,inhibition,--|,relation,false
39,63,PPrel,inhibition,--|,relation,false
25,49,PPrel,phosphorylation,+p,relation,false
51,108,PPrel,inhibition,--|,relation,false
33,61,PPrel,inhibition,--|,relation,false
100,50,PPrel,inhibition,--|,relation,false
61,69,PPrel,dephosphorylation,-p,relation,false
111,112,PPrel,activation,-->,relation,false
102,60,PPrel,inhibition,--|,relation,false
50,102,PPrel,inhibition,--|,relation,false
35,49,PPrel,activation,-->,relation,false
31,58,PPrel,binding/association,---,relation,false
52,54,PPrel,activation,-->,relation,false
94,116,PPrel,dissociation,-+-,relation,false
25,33,PPrel,phosphorylation,+p,relation,false
34,102,PPrel,inhibition,--|,relation,false
90,94,PPrel,binding/association,---,relation,false
61,67,PPrel,dephosphorylation,-p,relation,false
33,49,PPrel,phosphorylation,+p,relation,false
107,24,PPrel,phosphorylation,+p,relation,false
61,63,PPrel,dephosphorylation,-p,relation,false
116,72,GErel,expression,-->,relation,false
49,47,GErel,expression,-->,relation,false
42,114,PPrel,inhibition,--|,relation,false
102,94,PPrel,inhibition,--|,relation,false
47,64,PPrel,inhibition,--|,relation,false
108,95,PPrel,inhibition,--|,relation,false
82,108,PPrel,inhibition,--|,relation,false
34,108,PPrel,inhibition,--|,relation,false
101,63,PPrel,activation,-->,relation,false
34,100,PPrel,inhibition,--|,relation,false
108,94,PPrel,inhibition,--|,relation,false
101,68,PPrel,phosphorylation,+p,relation,false
49,34,GErel,expression,-->,relation,false
59,105,PPrel,binding/association,---,relation,false
40,21,PPrel,inhibition,--|,relation,false
79,76,PPrel,activation,-->,relation,false
30,112,PPrel,dephosphorylation,-p,relation,false
33,58,PPrel,inhibition,--|,relation,false
62,73,PPrel,inhibition,--|,relation,false
117,88,GErel,repression,--|,relation,false
112,107,PPrel,inhibition,--|,relation,false
24,58,PPrel,phosphorylation,+p,relation,false
113,5,PPrel,inhibition,--|,relation,false
109,100,PPrel,inhibition,--|,relation,false
110,50,PPrel,inhibition,--|,relation,false
99,88,GErel,repression,--|,relation,false
58,21,PPrel,dephosphorylation,-p,relation,false
99,51,GErel,expression,-->,relation,false
76,27,PPrel,activation,-->,relation,false
103,46,PPrel,phosphorylation,+p,relation,false
88,89,PPrel,inhibition,--|,relation,false
36,49,PPrel,inhibition,--|,relation,false
111,41,PPrel,inhibition,--|,relation,false
41,42,PPrel,inhibition,--|,relation,false
36,48,PPrel,inhibition,--|,relation,false
60,104,PPrel,binding/association,---,relation,false
28,29,PPrel,binding/association,---,relation,false
50,108,PPrel,inhibition,--|,relation,false
93,94,PPrel,binding/association,---,relation,false
1,36,PPrel,inhibition,--|,relation,false
102,92,PPrel,inhibition,--|,relation,false
24,39,PPrel,inhibition,--|,relation,false
61,68,PPrel,dephosphorylation,-p,relation,false
23,108,PPrel,inhibition,--|,relation,false
40,63,PPrel,inhibition,--|,relation,false
100,94,PPrel,inhibition,--|,relation,false
