entry_id,name,kegg_names,type,x,y,width,height,bgcolor,fgcolor,label,shape,reaction,component,size,link
1,hsa:1029,1029,gene,532.0,124.0,46.0,17.0,#BFFFBF,#000000,CDKN2A,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:1029
2,hsa:51343,51343,gene,919.0,536.0,46.0,17.0,#BFFFBF,#000000,FZR1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:51343
3,hsa:4171 hsa:4172 hsa:4173 hsa:4174 hsa:4175 hsa:4176,4171;4172;4173;4174;4175;4176,gene,553.0,556.0,46.0,17.0,#BFFFBF,#000000,MCM2,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:4171+hsa:4172+hsa:4173+hsa:4174+hsa:4175+hsa:4176
4,hsa:23594 hsa:23595 hsa:4998 hsa:4999 hsa:5000 hsa:5001,23594;23595;4998;4999;5000;5001,gene,494.0,556.0,46.0,17.0,#BFFFBF,#000000,ORC6,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:23594+hsa:23595+hsa:4998+hsa:4999+hsa:5000+hsa:5001
5,hsa:10393 hsa:246184 hsa:25847 hsa:29882 hsa:29945 hsa:51433 hsa:51434 hsa:51529 hsa:64682 hsa:8697 hsa:8881 hsa:996,10393;246184;25847;29882;29945;51433;51434;51529;64682;8697;8881;996,gene,919.0,297.0,46.0,17.0,#BFFFBF,#000000,ANAPC10,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:10393+hsa:246184+hsa:25847+hsa:29882+hsa:29945+hsa:51433+hsa:51434+hsa:51529+hsa:64682+hsa:8697+hsa:8881+hsa:996
6,hsa:10393 hsa:246184 hsa:25847 hsa:29882 hsa:29945 hsa:51433 hsa:51434 hsa:51529 hsa:64682 hsa:8697 hsa:8881 hsa:996,10393;246184;25847;29882;29945;51433;51434;51529;64682;8697;8881;996,gene,919.0,519.0,46.0,17.0,#BFFFBF,#000000,ANAPC10,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:10393+hsa:246184+hsa:25847+hsa:29882+hsa:29945+hsa:51433+hsa:51434+hsa:51529+hsa:64682+hsa:8697+hsa:8881+hsa:996
7,hsa:6500 hsa:8454 hsa:9978,6500;8454;9978,gene,188.0,519.0,46.0,17.0,#BFFFBF,#000000,SKP1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:6500+hsa:8454+hsa:9978
8,hsa:6500 hsa:8454 hsa:9978,6500;8454;9978,gene,432.0,191.0,46.0,17.0,#BFFFBF,#000000,SKP1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:6500+hsa:8454+hsa:9978
9,hsa:23594,23594,gene,123.0,704.0,46.0,17.0,#BFFFBF,#000000,ORC6,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:23594
10,hsa:23595,23595,gene,77.0,687.0,46.0,17.0,#BFFFBF,#000000,ORC3,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:23595
11,hsa:5001,5001,gene,77.0,704.0,46.0,17.0,#BFFFBF,#000000,ORC5,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:5001
12,hsa:5000,5000,gene,123.0,687.0,46.0,17.0,#BFFFBF,#000000,ORC4,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:5000
13,hsa:4999,4999,gene,123.0,670.0,46.0,17.0,#BFFFBF,#000000,ORC2,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:4999
14,hsa:4998,4998,gene,77.0,670.0,46.0,17.0,#BFFFBF,#000000,ORC1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:4998
15,hsa:4176,4176,gene,245.0,704.0,46.0,17.0,#BFFFBF,#000000,MCM7,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:4176
16,hsa:4175,4175,gene,200.0,704.0,46.0,17.0,#BFFFBF,#000000,MCM6,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:4175
17,hsa:4174,4174,gene,245.0,687.0,46.0,17.0,#BFFFBF,#000000,MCM5,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:4174
18,hsa:4173,4173,gene,200.0,687.0,46.0,17.0,#BFFFBF,#000000,MCM4,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:4173
19,hsa:4172,4172,gene,245.0,670.0,46.0,17.0,#BFFFBF,#000000,MCM3,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:4172
20,hsa:4171,4171,gene,200.0,670.0,46.0,17.0,#BFFFBF,#000000,MCM2,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:4171
21,hsa:983,983,gene,780.0,468.0,46.0,17.0,#BFFFBF,#000000,CDK1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:983
22,hsa:701,701,gene,830.0,298.0,46.0,17.0,#BFFFBF,#000000,BUB1B,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:701
23,hsa:5111,5111,gene,559.0,359.0,46.0,17.0,#BFFFBF,#000000,PCNA,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:5111
24,hsa:5347,5347,gene,862.0,468.0,46.0,17.0,#BFFFBF,#000000,PLK1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:5347
25,hsa:472 hsa:545,472;545,gene,696.0,163.0,46.0,17.0,#BFFFBF,#000000,ATM,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:472+hsa:545
26,hsa:10926,10926,gene,532.0,626.0,46.0,17.0,#BFFFBF,#000000,DBF4,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:10926
27,hsa:10459 hsa:4085,10459;4085,gene,830.0,281.0,46.0,17.0,#BFFFBF,#000000,MAD2L2,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:10459+hsa:4085
28,hsa:699,699,gene,769.0,315.0,46.0,17.0,#BFFFBF,#000000,BUB1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:699
