"id","name","status","seconds","error","details_json"
"R01","environment and package versions","pass",0.01,"","{""r_version"":""R version 4.6.1 (2026-06-24)"",""platform"":""aarch64-apple-darwin25.4.0"",""pathview_version"":""1.52.0"",""pathview_library"":""/Users/summermalik/Desktop/PATHVIEW-MARKDOWN/pygage-pathview-validation/.r-library/pathview"",""r_library_reused_read_only"":""/Users/summermalik/Desktop/PATHVIEW-MARKDOWN/pygage-pathview-validation/.r-library"",""bioconductor_version"":""3.23"",""rgraphviz_version"":""2.56.0"",""pathview_plus_version_compared"":""3.1.0"",""pathview_plus_commit_compared"":""d4d45decec56e1ebec15cf04ae62ff944851780e""}"
"R02","frozen offline hsa04110 fixture","pass",0.124,"","{""source"":""R pathview 1.52.0 installed extdata"",""xml"":{""path"":""08-11-2026/results/r-pathview/cache/hsa04110.xml"",""exists"":true,""bytes"":45001,""md5"":""7b311cbb36c40023c579f54ac3339e75""},""png"":{""path"":""08-11-2026/results/r-pathview/cache/hsa04110.png"",""exists"":true,""bytes"":32058,""md5"":""beafaa855deed48d420d7b7ae0ff0595"",""width_px"":1039,""height_px"":801,""channels"":4}}"
"R03","one-state native pathway","pass",0.389,"","{""input"":{""1029"":-2,""7157"":-1.6,""1956"":-1.2},""mapped_gene_nodes"":3,""output"":{""path"":""08-11-2026/results/r-pathview/hsa04110.r-one-state.png"",""exists"":true,""bytes"":59623,""md5"":""79c77385e72ff5d1f99b64d3e623ec27"",""width_px"":1039,""height_px"":801,""channels"":4},""node_table"":{""path"":""08-11-2026/results/r-pathview/hsa04110.r-one-state.gene-nodes.csv"",""exists"":true,""bytes"":4833,""md5"":""b0c5fcacdb1a811b86ad17e2b19baaa8""}}"
"R04","two-state half-and-half native pathway","pass",0.265,"","{""input_state_order"":[""Classical=-2 (left)"",""Basal=+2 (right)""],""cdkn2a_geometry"":{""x"":532,""y"":124,""width"":46,""height"":17},""cdkn2a_color_counts"":{""left_green"":303,""left_red"":0,""right_green"":13,""right_red"":334},""output"":{""path"":""08-11-2026/results/r-pathview/hsa04110.r-half-half.multi.png"",""exists"":true,""bytes"":59746,""md5"":""cf8c1667dcc45c86da1e8256c7380d11"",""width_px"":1039,""height_px"":801,""channels"":4},""crop"":{""path"":""08-11-2026/results/r-pathview/hsa04110.r-half-half.CDKN2A-crop.png"",""exists"":true,""bytes"":264,""md5"":""a92222d8a7f178a8f0e8eb5de11ddd9b"",""width_px"":47,""height_px"":19,""channels"":4},""node_table"":{""path"":""08-11-2026/results/r-pathview/hsa04110.r-half-half.gene-nodes.csv"",""exists"":true,""bytes"":6055,""md5"":""655ee838c8473e487d0368abb2473706""}}"
"R05","shared Control/Treatment dataset for the R-Python notebook","pass",0.248,"","{""input_values"":{""1017"":[{""Control"":-1.5,""Treatment"":1.5}],""1019"":[{""Control"":-0.7,""Treatment"":0.7}],""1021"":[{""Control"":0,""Treatment"":0}],""595"":[{""Control"":0.8,""Treatment"":-0.8}],""7157"":[{""Control"":1.4,""Treatment"":-1.4}]},""state_order"":[""Control (left)"",""Treatment (right)""],""requested_entrez_ids"":[""1017"",""1019"",""1021"",""595"",""7157""],""mapped_row_indices_by_id"":{""1017"":[65,66],""1019"":67,""1021"":67,""595"":71,""7157"":48},""note"":""If multiple input genes share one KEGG node, R pathview reports the node-level aggregate in the selected-node table."",""selected_node_rows"":5,""output"":{""path"":""08-11-2026/results/r-pathview/hsa04110.r-shared-control-treatment.multi.png"",""exists"":true,""bytes"":59922,""md5"":""8986a3cc6690edf4b1a20c615fefc7ad"",""width_px"":1039,""height_px"":801,""channels"":4},""input_csv"":{""path"":""08-11-2026/results/r-pathview/shared-hsa04110-control-treatment-input.csv"",""exists"":true,""bytes"":108,""md5"":""ad69ef1f56269641b561a734ce4cf7d0""},""all_node_table"":{""path"":""08-11-2026/results/r-pathview/hsa04110.r-shared-control-treatment.gene-nodes.csv"",""exists"":true,""bytes"":6085,""md5"":""4a56a038b38bc776759fdcb62b3c6b02""},""selected_node_table"":{""path"":""08-11-2026/results/r-pathview/hsa04110.r-shared-control-treatment.selected-nodes.csv"",""exists"":true,""bytes"":478,""md5"":""2a2097f6c4c053f6051875a15352c20f""}}"
"R06","three-state native pathway","pass",0.26,"","{""input_state_order"":[""Low=-2 (left)"",""Middle=0 (middle)"",""High=+2 (right)""],""cdkn2a_geometry"":{""x"":532,""y"":124,""width"":46,""height"":17},""cdkn2a_color_counts"":{""left"":{""green"":199,""gray"":0,""red"":0},""middle"":{""green"":26,""gray"":180,""red"":0},""right"":{""green"":0,""gray"":13,""red"":232}},""output"":{""path"":""08-11-2026/results/r-pathview/hsa04110.r-three-state.multi.png"",""exists"":true,""bytes"":60038,""md5"":""7212c14a82e8871b5ef04361ceec390b"",""width_px"":1039,""height_px"":801,""channels"":4},""crop"":{""path"":""08-11-2026/results/r-pathview/hsa04110.r-three-state.CDKN2A-crop.png"",""exists"":true,""bytes"":275,""md5"":""d1b73c41fd65dce0b625bead6a5b93fc"",""width_px"":47,""height_px"":19,""channels"":4},""node_table"":{""path"":""08-11-2026/results/r-pathview/hsa04110.r-three-state.gene-nodes.csv"",""exists"":true,""bytes"":7256,""md5"":""16d397f606541cd8d5855ad7d2a9c1bd""}}"
"R07","native PNG dimensions and gene geometry","pass",0.032,"","{""expected_and_observed_gene_geometry"":{""x"":532,""y"":124,""width"":46,""height"":17},""source_dimensions"":{""path"":""08-11-2026/results/r-pathview/cache/hsa04110.png"",""exists"":true,""bytes"":32058,""md5"":""beafaa855deed48d420d7b7ae0ff0595"",""width_px"":1039,""height_px"":801,""channels"":4},""result_dimensions"":[{""path"":""08-11-2026/results/r-pathview/hsa04110.r-one-state.png"",""exists"":true,""bytes"":59623,""md5"":""79c77385e72ff5d1f99b64d3e623ec27"",""width_px"":1039,""height_px"":801,""channels"":4},{""path"":""08-11-2026/results/r-pathview/hsa04110.r-half-half.multi.png"",""exists"":true,""bytes"":59746,""md5"":""cf8c1667dcc45c86da1e8256c7380d11"",""width_px"":1039,""height_px"":801,""channels"":4},{""path"":""08-11-2026/results/r-pathview/hsa04110.r-three-state.multi.png"",""exists"":true,""bytes"":60038,""md5"":""7212c14a82e8871b5ef04361ceec390b"",""width_px"":1039,""height_px"":801,""channels"":4}]}"
"R08","two-state Graphviz pathway PDF","pass",0.239,"","{""states"":[""Classical"",""Basal""],""graph_gene_node_rows"":92,""pdf_signature"":""%PDF"",""output"":{""path"":""08-11-2026/results/r-pathview/hsa04110.r-graph.multi.pdf"",""exists"":true,""bytes"":19039,""md5"":""138319ff1f648ded20b2dc598b988db3""}}"
"R09","gene and compound data on one native pathway","pass",0.602,"","{""controlled_background"":{""description"":""1000x800 blank white PNG made locally"",""evidence"":{""path"":""08-11-2026/results/r-pathview/cache/hsa00020.png"",""exists"":true,""bytes"":4985,""md5"":""6a7d66ea31b7c9be285a773e84706b0b"",""width_px"":1000,""height_px"":800,""channels"":4}},""gene_input"":{""1738"":[-2,2],""1743"":[-1.6,1.6],""1737"":[-1.2,1.2]},""compound_input"":{""C00022"":[-2,2],""C00122"":[2,-2]},""mapped_gene_rows"":4,""mapped_compound_rows"":2,""output"":{""path"":""08-11-2026/results/r-pathview/hsa00020.r-gene-compound.multi.png"",""exists"":true,""bytes"":20764,""md5"":""53a526b58a47aae32b0815b447ddf5f9"",""width_px"":1000,""height_px"":800,""channels"":4},""gene_node_table"":{""path"":""08-11-2026/results/r-pathview/hsa00020.r-gene-compound.gene-nodes.csv"",""exists"":true,""bytes"":1522,""md5"":""f6d103c0e3567a84544546c24eaf7bfa""},""compound_node_table"":{""path"":""08-11-2026/results/r-pathview/hsa00020.r-gene-compound.compound-nodes.csv"",""exists"":true,""bytes"":1721,""md5"":""f79bf02d6a09171718daebabc18e9052""},""warnings"":[{""message"":""number of rows of result is not a multiple of vector length (arg 2)"",""count"":132}],""warning_count"":132}"
"R10","native compound center uses top-left image coordinates","pass",0.01,"","{""compound"":""C00022"",""image_height"":800,""kgml_center"":{""x"":716,""y"":241},""observed_colored_center"":{""x"":717,""y"":242},""vertically_mirrored_candidate_y"":559,""colored_bbox"":{""left"":710,""right"":724,""top"":235,""bottom"":249},""observed_half_width_px"":8,""observed_half_height_px"":8,""kgml_width_px"":8,""kgml_height_px"":8,""kgml_radius_if_dimensions_are_diameters_px"":4}"
