"kegg.names","labels","all.mapped","type","x","y","width","height","Low","High","Low.col","High.col"
"C00022","C00022","C00022","compound",716,241,8,8,-2,2,"#0000FF","#FFFF00"
"C00122","C00122","C00122","compound",169,481,8,8,2,-2,"#FFFF00","#0000FF"
"C00036","C00036","","compound",299,344,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C05379","C05379","","compound",697,453,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C00024","C00024","","compound",379,241,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C00149","C00149","","compound",169,393,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C00311","C00311","","compound",697,344,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C00417","C00417","","compound",600,344,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C00042","C00042","","compound",169,574,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C00158","C00158","","compound",501,344,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C15972","C15972","","compound",501,617,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C00068","C00068","","compound",568,530,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C16254","C16254","","compound",441,573,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C15973","C15973","","compound",387,617,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C00091","C00091","","compound",313,574,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C00026","C00026","","compound",697,573,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C05381","C05381","","compound",572,573,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C05125","C05125","","compound",610,241,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C00068","C00068","","compound",610,198,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C15972","C15972","","compound",559,284,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C16255","C16255","","compound",496,241,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C15973","C15973","","compound",457,284,8,8,NA,NA,"#FFFFFF","#FFFFFF"
"C00074","C00074","","compound",450,127,8,8,NA,NA,"#FFFFFF","#FFFFFF"
