"kegg.names","labels","all.mapped","type","x","y","width","height","Low","High","Low.col","High.col"
"1738","DLD","1738","gene",446,618,46,17,-2,2,"#00FF00","#FF0000"
"4967","OGDH","","gene",640,574,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"4967","OGDH","","gene",509,575,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"1743","DLST","1743","gene",382,574,46,17,-1.6,1.6,"#26F226","#F22626"
"8801","SUCLG2","","gene",239,585,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"8801","SUCLG2","","gene",239,564,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"3417","IDH1","","gene",697,505,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"3419","IDH3A","","gene",755,458,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"3417","IDH1","","gene",697,400,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"47","ACLY","","gene",413,355,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"6389","SDHA","","gene",194,530,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"2271","FH","","gene",168,436,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"48","ACO1","","gene",649,345,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"48","ACO1","","gene",550,345,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"1431","CS","","gene",413,334,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"4190","MDH1","","gene",232,345,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"5091","PC","","gene",715,278,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"5160","PDHA1","","gene",665,241,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"5160","PDHA1","","gene",561,241,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"1738","DLD","1738","gene",508,285,46,17,-2,2,"#00FF00","#FF0000"
"1737","DLAT","1737","gene",443,242,46,17,-1.2,1.2,"#4CE54C","#E54C4C"
"5105","PCK1","","gene",350,117,46,17,NA,NA,"#FFFFFF","#FFFFFF"
