"kegg.names","labels","all.mapped","type","x","y","width","height","Control","Treatment","Control.col","Treatment.col"
"1029","CDKN2A","","gene",532,124,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"51343","FZR1","","gene",919,536,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"4171","MCM2","","gene",553,556,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"4998","ORC6","","gene",494,556,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"996","ANAPC10","","gene",919,297,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"996","ANAPC10","","gene",919,519,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"6500","SKP1","","gene",188,519,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"6500","SKP1","","gene",432,191,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"23594","ORC6","","gene",123,704,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"23595","ORC3","","gene",77,687,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"5001","ORC5","","gene",77,704,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"5000","ORC4","","gene",123,687,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"4999","ORC2","","gene",123,670,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"4998","ORC1","","gene",77,670,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"4176","MCM7","","gene",245,704,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"4175","MCM6","","gene",200,704,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"4174","MCM5","","gene",245,687,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"4173","MCM4","","gene",200,687,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"4172","MCM3","","gene",245,670,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"4171","MCM2","","gene",200,670,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"983","CDK1","","gene",780,468,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"701","BUB1B","","gene",830,298,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"5111","PCNA","","gene",559,359,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"5347","PLK1","","gene",862,468,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"472","ATM","","gene",696,163,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"10926","DBF4","","gene",532,626,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"4085","MAD2L2","","gene",830,281,46,17,NA,NA,"#FFFFFF","#FFFFFF"
