r_package,r_version,r_export,pathview_plus,status,note
pathview,1.47.1,col.key,draw_color_key,covered,pathview.draw_color_key
pathview,1.47.1,combineKEGGnodes,split_groups,covered,pathview.split_groups
pathview,1.47.1,cpd2kegg,cpd_id_map,covered,pathview.cpd_id_map
pathview,1.47.1,cpdidmap,cpd_id_map,covered,pathview.cpd_id_map
pathview,1.47.1,cpdkegg2name,compound_name,covered,pathview.compound_name
pathview,1.47.1,cpdname2kegg,cpd_name_to_kegg,covered,pathview.cpd_name_to_kegg
pathview,1.47.1,download.kegg,download_kegg,covered,pathview.download_kegg
pathview,1.47.1,eg2id,eg2id,covered,pathview.eg2id
pathview,1.47.1,geneannot.map,eg2id,covered,pathview.eg2id
pathview,1.47.1,id2eg,id2eg,covered,pathview.id2eg
pathview,1.47.1,kegg.species.code,kegg_species_code,covered,pathview.kegg_species_code
pathview,1.47.1,keggview.graph,keggview_graph,covered,pathview.keggview_graph
pathview,1.47.1,keggview.native,keggview_native,covered,pathview.keggview_native
pathview,1.47.1,mol.sum,mol_sum,covered,pathview.mol_sum
pathview,1.47.1,node.color,node_color,covered,pathview.node_color
pathview,1.47.1,node.info,node_info,covered,pathview.node_info
pathview,1.47.1,node.map,node_map,covered,pathview.node_map
pathview,1.47.1,pathview,pathview,covered,pathview.pathview
pathview,1.47.1,reaction2edge,pathway_edges,covered,pathview.pathway_edges
pathview,1.47.1,sim.mol.data,sim_mol_data,covered,pathview.sim_mol_data
pathview,1.47.1,strfit,strfit,covered,pathview.strfit
pathview,1.47.1,wordwrap,wordwrap,covered,pathview.wordwrap
SBGNview,1.5.1,SBGNview,sbgnview,covered,pathview.sbgnview
SBGNview,1.5.1,changeDataId,map_ids_to_sbgn,covered,pathview.map_ids_to_sbgn
SBGNview,1.5.1,changeIds,map_ids_to_sbgn,covered,pathview.map_ids_to_sbgn
SBGNview,1.5.1,downloadSbgnFile,download_sbgn,covered,pathview.download_sbgn
SBGNview,1.5.1,findPathways,list_sbgn_pathways,covered,pathview.list_sbgn_pathways
SBGNview,1.5.1,highlightArcs,highlight_edges,covered,pathview.highlight_edges
SBGNview,1.5.1,highlightNodes,highlight_nodes,covered,pathview.highlight_nodes
SBGNview,1.5.1,highlightPath,highlight_path,covered,pathview.highlight_path
SBGNview,1.5.1,loadMappingTable,sbgn_xref,covered,pathview.sbgn_xref
SBGNview,1.5.1,outputFile,sbgnview,covered,pathview.sbgnview
SBGNview,1.5.1,outputFile<-,,n/a,R replacement function; Python uses plain attribute assignment
SBGNview,1.5.1,renderSbgn,keggview_vector,covered,pathview.keggview_vector
SBGNview,1.5.1,sbgn.gsets,list_sbgn_pathways,covered,pathview.list_sbgn_pathways
SBGNview,1.5.1,sbgnNodes,sbgn_to_df,covered,pathview.sbgn_to_df
