r_package,r_version,r_function,r_argument,pathview_plus_argument,status
pathview,1.47.1,pathview,gene.data,gene_data,covered
pathview,1.47.1,pathview,cpd.data,cpd_data,covered
pathview,1.47.1,pathview,pathway.id,pathway_id,covered
pathview,1.47.1,pathview,species,species,covered
pathview,1.47.1,pathview,kegg.dir,kegg_dir,covered
pathview,1.47.1,pathview,cpd.idtype,cpd_idtype,covered
pathview,1.47.1,pathview,gene.idtype,gene_idtype,covered
pathview,1.47.1,pathview,gene.annotpkg,names a Bioconductor OrgDb package; the conversions it provides are covered by id2eg/eg2id,n/a
pathview,1.47.1,pathview,min.nnodes,min_nnodes,covered
pathview,1.47.1,pathview,kegg.native,render_mode,covered
pathview,1.47.1,pathview,map.null,map_null,covered
pathview,1.47.1,pathview,expand.node,expand_node,covered
pathview,1.47.1,pathview,split.group,split_group,covered
pathview,1.47.1,pathview,map.symbol,map_symbol,covered
pathview,1.47.1,pathview,map.cpdname,map_cpd_name,covered
pathview,1.47.1,pathview,node.sum,node_sum,covered
pathview,1.47.1,pathview,discrete,discrete,covered
pathview,1.47.1,pathview,limit,limit,covered
pathview,1.47.1,pathview,bins,bins,covered
pathview,1.47.1,pathview,both.dirs,both_dirs,covered
pathview,1.47.1,pathview,trans.fun,trans_fun,covered
pathview,1.47.1,pathview,low,gene_color,covered
pathview,1.47.1,pathview,mid,gene_color,covered
pathview,1.47.1,pathview,high,gene_color,covered
pathview,1.47.1,pathview,na.col,na_col,covered
SBGNview,1.5.1,SBGNview,gene.data,gene_data,covered
SBGNview,1.5.1,SBGNview,cpd.data,cpd_data,covered
SBGNview,1.5.1,SBGNview,simulate.data,gene_data,covered
SBGNview,1.5.1,SBGNview,input.sbgn,pathway_id,covered
SBGNview,1.5.1,SBGNview,sbgn.dir,sbgn_dir,covered
SBGNview,1.5.1,SBGNview,output.file,out_dir,covered
SBGNview,1.5.1,SBGNview,node.sum,node_sum,covered
SBGNview,1.5.1,SBGNview,gene.id.type,gene_idtype,covered
SBGNview,1.5.1,SBGNview,cpd.id.type,cpd_idtype,covered
SBGNview,1.5.1,SBGNview,sbgn.id.attr,pathway_id,covered
SBGNview,1.5.1,SBGNview,sbgn.gene.id.type,gene_idtype,covered
SBGNview,1.5.1,SBGNview,sbgn.cpd.id.type,cpd_idtype,covered
SBGNview,1.5.1,SBGNview,id.mapping.gene,id_mapping_gene,covered
SBGNview,1.5.1,SBGNview,id.mapping.cpd,id_mapping_cpd,covered
SBGNview,1.5.1,SBGNview,org,species,covered
SBGNview,1.5.1,SBGNview,output.formats,output_format,covered
SBGNview,1.5.1,SBGNview,pathway.name,title,covered
SBGNview,1.5.1,SBGNview,show.pathway.name,title,covered
SBGNview,1.5.1,SBGNview,SBGNview.data.folder,sbgn_dir,covered
