comparison,r_package,r_version,r_export,pathview_plus,status,note,r_function,r_argument,pathview_plus_argument,category,feature,pathview_R,SBGNview_R,api
api,pathview,1.47.1,col.key,draw_color_key,covered,pathview.draw_color_key,,,,,,,,
api,pathview,1.47.1,combineKEGGnodes,split_groups,covered,pathview.split_groups,,,,,,,,
api,pathview,1.47.1,cpd2kegg,cpd_id_map,covered,pathview.cpd_id_map,,,,,,,,
api,pathview,1.47.1,cpdidmap,cpd_id_map,covered,pathview.cpd_id_map,,,,,,,,
api,pathview,1.47.1,cpdkegg2name,compound_name,covered,pathview.compound_name,,,,,,,,
api,pathview,1.47.1,cpdname2kegg,cpd_name_to_kegg,covered,pathview.cpd_name_to_kegg,,,,,,,,
api,pathview,1.47.1,download.kegg,download_kegg,covered,pathview.download_kegg,,,,,,,,
api,pathview,1.47.1,eg2id,eg2id,covered,pathview.eg2id,,,,,,,,
api,pathview,1.47.1,geneannot.map,eg2id,covered,pathview.eg2id,,,,,,,,
api,pathview,1.47.1,id2eg,id2eg,covered,pathview.id2eg,,,,,,,,
api,pathview,1.47.1,kegg.species.code,kegg_species_code,covered,pathview.kegg_species_code,,,,,,,,
api,pathview,1.47.1,keggview.graph,keggview_graph,covered,pathview.keggview_graph,,,,,,,,
api,pathview,1.47.1,keggview.native,keggview_native,covered,pathview.keggview_native,,,,,,,,
api,pathview,1.47.1,mol.sum,mol_sum,covered,pathview.mol_sum,,,,,,,,
api,pathview,1.47.1,node.color,node_color,covered,pathview.node_color,,,,,,,,
api,pathview,1.47.1,node.info,node_info,covered,pathview.node_info,,,,,,,,
api,pathview,1.47.1,node.map,node_map,covered,pathview.node_map,,,,,,,,
api,pathview,1.47.1,pathview,pathview,covered,pathview.pathview,,,,,,,,
api,pathview,1.47.1,reaction2edge,pathway_edges,covered,pathview.pathway_edges,,,,,,,,
api,pathview,1.47.1,sim.mol.data,sim_mol_data,covered,pathview.sim_mol_data,,,,,,,,
api,pathview,1.47.1,strfit,strfit,covered,pathview.strfit,,,,,,,,
api,pathview,1.47.1,wordwrap,wordwrap,covered,pathview.wordwrap,,,,,,,,
api,SBGNview,1.5.1,SBGNview,sbgnview,covered,pathview.sbgnview,,,,,,,,
api,SBGNview,1.5.1,changeDataId,map_ids_to_sbgn,covered,pathview.map_ids_to_sbgn,,,,,,,,
api,SBGNview,1.5.1,changeIds,map_ids_to_sbgn,covered,pathview.map_ids_to_sbgn,,,,,,,,
api,SBGNview,1.5.1,downloadSbgnFile,download_sbgn,covered,pathview.download_sbgn,,,,,,,,
api,SBGNview,1.5.1,findPathways,list_sbgn_pathways,covered,pathview.list_sbgn_pathways,,,,,,,,
api,SBGNview,1.5.1,highlightArcs,highlight_edges,covered,pathview.highlight_edges,,,,,,,,
api,SBGNview,1.5.1,highlightNodes,highlight_nodes,covered,pathview.highlight_nodes,,,,,,,,
api,SBGNview,1.5.1,highlightPath,highlight_path,covered,pathview.highlight_path,,,,,,,,
