entrez_id	symbol
1	A1BG
10	NAT2
100	ADA
1000	CDH2
10000	AKT3
100008586	GAGE12F
100008587	LOC100008587
100008588	LOC100008588
100008589	LOC100008589
100009601	TRNAY1
100009602	TRNAY2
100009603	TRNAA2
100009604	TRNAA3
100009605	TRNAF1
100009606	TRNAF2
100009607	TRNAH5
100009612	C11orf62
100009613	C11orf78
100009665	POU5F1P2
100009667	POU5F1P5
100009668	POU5F1P6
100009669	POU5F1P7
100009670	POU5F1P8
100009671	IRX4P1
100009672	TGIF2P3
100009673	TGIF2P4
100009674	TGIF2P2
100009675	MRT4
100009676	LOC100009676
10001	MED6
10002	NR2E3
10003	NAALAD2
100033388	GDB2
100033389	GDB2
100033391	VN2R2P
100033392	VN2R3P
100033393	VN2R4P
100033394	VN2R5P
100033395	VN2R6P
100033396	VN2R7P
100033397	VN2R8P
100033398	VN2R10P
100033399	VN2R11P
100033400	VN2R12P
100033401	VN2R13P
100033402	VN2R14P
100033403	VN2R15P
100033404	VN2R16P
100033406	VN2R18P
100033407	VN2R19P
100033408	VN2R20P
100033409	OTX2P1
100033410	SATB1P1
100033411	DUXB
100033412	ZEB2P1
100033413	SNORD116-1
100033414	SNORD116-2
100033415	SNORD116-3
100033416	SNORD116-4
100033417	SNORD116-5
100033418	SNORD116-6
100033419	SNORD116-7
100033420	SNORD116-8
100033421	SNORD116-9
100033422	SNORD116-10
100033423	SNORD116-11
100033424	SNORD116-12
100033425	SNORD116-13
100033426	SNORD116-14
100033427	SNORD116-15
100033428	SNORD116-16
100033429	SNORD116-17
100033430	SNORD116-18
100033431	SNORD116-20
100033432	SNORD116-21
100033433	SNORD116-22
100033434	SNORD116-23
100033435	SNORD116-24
100033436	SNORD116-25
100033437	SNORD115-2
100033438	SNORD116-26
100033439	SNORD116-27
100033440	SNORD115-3
100033441	SNORD115-4
100033442	SNORD115-5
100033443	SNORD115-6
100033444	SNORD115-7
100033445	SNORD115-8
100033446	SNORD115-9
100033447	SNORD115-10
100033448	SNORD115-11
100033449	SNORD115-12
100033450	SNORD115-13
100033451	SNORD115-14
100033453	SNORD115-15
100033454	SNORD115-16
100033455	SNORD115-17
100033456	SNORD115-18
100033458	SNORD115-19
100033460	SNORD115-20
100033603	SNORD115-21
100033799	SNORD115-22
100033800	SNORD115-23
100033801	SNORD115-25
100033802	SNORD115-26
100033803	SNORD115-29
100033804	SNORD115-30
100033805	SNORD115-31
100033806	SNORD115-32
100033807	SNORD115-33
100033808	SNORD115-34
100033809	SNORD115-35
100033810	SNORD115-36
100033811	SNORD115-37
100033812	SNORD115-38
100033813	SNORD115-39
100033814	SNORD115-40
100033815	SNORD115-41
100033816	SNORD115-42
100033817	SNORD115-43
100033818	SNORD115-44
100033819	MIR675
100033820	SNORD116-28
100033821	SNORD116-29
100033822	SNORD115-48
100034248	LOC100034248
100034700	AA1
100034701	TAR
100034703	AA2
100034704	RHDNS1
100034705	MMVP3
100034736	ANE1
100034743	PDZK1P2
100036519	FOXD4L2
